"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-03,2026-06-03,"Basil Pesto x Caraway",inactive,50,Daily,64.14,2191,2336,1.06618,120,5.136986,0.5345,27.457192,108,33,0.30555556,1.94363636
2026-06-03,2026-06-03,"Frozen Pasta Can't Be That Good",active,50,Daily,2.4,136,137,1.007353,6,4.379562,0.4,17.518248,4,2,0.5,1.2
2026-06-03,2026-06-03,"Founder Content",inactive,50,Daily,1.14,61,61,1,8,13.114754,0.1425,18.688525,8,1,0.125,1.14
2026-06-03,2026-06-03,"Cacio e Pepe Puffs",inactive,50,Daily,1.42,135,135,1,7,5.185185,0.202857,10.518519,6,1,0.16666667,1.42
2026-06-03,2026-06-03,"Trio Logo (Whole Foods)",active,50,Daily,15.38,8510,8768,1.030317,6,0.068431,2.563333,1.754106,0,0,,
2026-06-03,2026-06-03,"Us v. Them (Whole Foods)",inactive,50,Daily,38.63,16474,17467,1.060277,13,0.074426,2.971538,2.211599,2,0,0,
2026-06-03,2026-06-03,"Us v. Them (Target)",inactive,50,Daily,32.34,15239,15239,1,17,0.111556,1.902353,2.122187,4,0,0,
2026-06-03,2026-06-03,"Dark Lifestyle",inactive,50,Daily,1,473,485,1.02537,,,,2.061856,0,0,,
2026-06-03,2026-06-03,"Pasta Tower",inactive,50,Daily,8.37,4378,4453,1.017131,3,0.06737,2.79,1.879632,1,0,0,
2026-06-03,2026-06-03,"Us v. Them",inactive,50,Daily,32,14685,15633,1.064556,9,0.057571,3.555556,2.046952,3,0,0,
2026-06-03,2026-06-03,"Basil Pesto Exclusive (Target)",active,50,Daily,33.44,17147,17794,1.037733,22,0.123637,1.52,1.879285,0,0,,
2026-06-03,2026-06-03,"Founder Message",inactive,50,Daily,9.8,847,860,1.015348,49,5.697674,0.2,11.395349,48,2,0.04166667,4.9
2026-06-03,2026-06-03,"Us v. Them",active,50,Daily,47.76,22508,22508,1,17,0.075529,2.809412,2.121912,0,0,,
2026-06-03,2026-06-03,"Cacio e Pepe Hero Image",inactive,50,Daily,0.49,233,237,1.017167,,,,2.067511,0,0,,
2026-06-02,2026-06-02,"Target On Shelves",active,50,Daily,7.08,386,394,1.020725,20,5.076142,0.354,17.969543,13,6,0.46153846,1.18
2026-06-02,2026-06-02,"Basil Pesto x Caraway",inactive,50,Daily,11.37,256,280,1.09375,18,6.428571,0.631667,40.607143,3,2,0.66666667,5.685
2026-06-02,2026-06-02,"Frozen Pasta Can't Be That Good",active,50,Daily,1.71,121,122,1.008264,4,3.278689,0.4275,14.016393,1,1,1,1.71
2026-06-02,2026-06-02,"Founder Content",inactive,50,Daily,12.15,767,817,1.065189,50,6.119951,0.243,14.871481,49,4,0.08163265,3.0375
2026-06-02,2026-06-02,"Cacio e Pepe Puffs",inactive,50,Daily,20.21,1221,1236,1.012285,71,5.744337,0.284648,16.351133,66,7,0.10606061,2.88714286
2026-06-02,2026-06-02,"Trio Logo (Whole Foods)",active,50,Daily,26.17,49118,50822,1.034692,108,0.212506,0.242315,0.514934,0,0,,
2026-06-02,2026-06-02,"Us v. Them (Whole Foods)",inactive,50,Daily,78.83,65999,65999,1,151,0.228791,0.522053,1.194412,25,0,0,
2026-06-02,2026-06-02,"Us v. Them (Target)",inactive,50,Daily,55.15,45251,45512,1.005768,118,0.259272,0.467373,1.211768,18,0,0,
2026-06-02,2026-06-02,"Dark Lifestyle",inactive,50,Daily,6.39,2701,2820,1.044058,2,0.070922,3.195,2.265957,0,0,,
2026-06-02,2026-06-02,"Pasta Tower",inactive,50,Daily,8.33,4015,4159,1.035866,6,0.144265,1.388333,2.002885,0,0,,
2026-06-02,2026-06-02,"Sauce Splash",inactive,50,Daily,0.32,361,370,1.024931,,,,0.864865,0,0,,
2026-06-02,2026-06-02,"Us v. Them",inactive,50,Daily,27.59,19473,19518,1.002311,30,0.153704,0.919667,1.413567,6,0,0,
2026-06-02,2026-06-02,"Basil Pesto Exclusive (Target)",active,50,Daily,49.85,65656,67521,1.028406,161,0.238444,0.309627,0.738289,0,0,,
2026-06-02,2026-06-02,"Founder Message",inactive,50,Daily,0.22,14,14,1,1,7.142857,0.22,15.714286,1,0,0,
2026-06-02,2026-06-02,"Us v. Them",active,50,Daily,54.15,24019,25496,1.061493,22,0.086288,2.461364,2.123863,4,0,0,
2026-06-02,2026-06-02,"Basil Pesto Exclusive",not_delivering,50,Daily,5.22,2958,2960,1.000676,1,0.033784,5.22,1.763514,0,0,,
2026-06-01,2026-06-01,"Target On Shelves",active,50,Daily,29.62,2063,2123,1.029084,106,4.992935,0.279434,13.951955,94,24,0.25531915,1.23416667
2026-06-01,2026-06-01,"Basil Pesto x Caraway",inactive,50,Daily,0.9,18,18,1,,,,50,0,0,,
2026-06-01,2026-06-01,"Frozen Pasta Can't Be That Good",active,50,Daily,8.71,656,668,1.018293,27,4.041916,0.322593,13.038922,16,7,0.4375,1.24428571
2026-06-01,2026-06-01,"Founder Content",inactive,50,Daily,8.97,757,777,1.02642,24,3.088803,0.37375,11.544402,24,0,0,
2026-06-01,2026-06-01,"Cacio e Pepe Puffs",inactive,50,Daily,11.92,858,875,1.019814,55,6.285714,0.216727,13.622857,57,14,0.24561404,0.85142857
2026-06-01,2026-06-01,"Trio Logo (Whole Foods)",active,50,Daily,79.84,82682,82682,1,184,0.222539,0.433913,0.965627,0,0,,
2026-06-01,2026-06-01,"Us v. Them (Whole Foods)",inactive,50,Daily,25.16,24715,25325,1.024681,47,0.185587,0.535319,0.993485,13,0,0,
2026-06-01,2026-06-01,"Us v. Them (Target)",inactive,50,Daily,52.15,42309,42309,1,107,0.252901,0.487383,1.232598,34,0,0,
2026-06-01,2026-06-01,"Pasta Tower",inactive,50,Daily,1.02,3152,3152,1,4,0.126904,0.255,0.323604,0,0,,
2026-06-01,2026-06-01,"Sauce Splash",inactive,50,Daily,0.97,560,583,1.041071,,,,1.663808,0,0,,
2026-06-01,2026-06-01,"Us v. Them",inactive,50,Daily,11.18,6867,7069,1.029416,7,0.099024,1.597143,1.581553,0,0,,
2026-06-01,2026-06-01,"Basil Pesto Exclusive (Target)",active,50,Daily,0,2,2,1,,,,0,0,0,,
2026-06-01,2026-06-01,"Founder Message",inactive,50,Daily,0.21,6,6,1,1,16.666667,0.21,35,1,0,0,
2026-06-01,2026-06-01,"Us v. Them",active,50,Daily,45.61,20866,22630,1.084539,7,0.030932,6.515714,2.015466,2,0,0,
2026-06-01,2026-06-01,"Cacio e Pepe Hero Image",inactive,50,Daily,0.52,236,246,1.042373,,,,2.113821,0,0,,
2026-06-01,2026-06-01,"Basil Pesto Exclusive",not_delivering,50,Daily,32.03,18433,19006,1.031086,25,0.131537,1.2812,1.685257,0,0,,
