"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-19,2026-06-19,"Target Evergreen Campaign",active,50,Daily,52.66,18214,19390,1.064566,12,0.061888,4.388333,2.715833,0,0,,
2026-06-19,2026-06-19,"Whole Foods Evergreen Campaign",active,50,Daily,47.08,15629,16644,1.064943,6,0.036049,7.846667,2.828647,0,0,,
2026-06-19,2026-06-19,"Audience Test (Parents + Cooking)",active,50,Daily,46.45,18581,18615,1.00183,18,0.096696,2.580556,2.495299,5,0,0,
2026-06-19,2026-06-19,"Existing Posts",active,50,Daily,61.77,3342,3369,1.008079,220,6.530128,0.280773,18.334817,207,46,0.22222222,1.34282609
2026-06-18,2026-06-18,"[Parents + Cooking] Creative Test",inactive,50,Daily,62.73,31074,31312,1.007659,42,0.134134,1.493571,2.003385,5,0,0,
2026-06-18,2026-06-18,"Target Evergreen Campaign",active,50,Daily,76.85,28798,29422,1.021668,18,0.061179,4.269444,2.611991,0,0,,
2026-06-18,2026-06-18,"Whole Foods Evergreen Campaign",active,50,Daily,55.88,29149,29605,1.015644,36,0.121601,1.552222,1.887519,0,0,,
2026-06-18,2026-06-18,"Audience Test (Parents + Cooking)",active,50,Daily,43.04,16549,17114,1.034141,13,0.075961,3.310769,2.5149,3,0,0,
2026-06-18,2026-06-18,"Existing Posts",active,50,Daily,70.2,4265,4265,1,317,7.432591,0.221451,16.459555,309,71,0.22977346,0.98873239
2026-06-17,2026-06-17,"[Parents + Cooking] Creative Test",inactive,50,Daily,40.67,15571,16564,1.063772,13,0.078483,3.128462,2.455325,4,0,0,
2026-06-17,2026-06-17,"Target Evergreen Campaign",active,50,Daily,53.15,21815,23330,1.069448,15,0.064295,3.543333,2.278183,0,0,,
2026-06-17,2026-06-17,"Whole Foods Evergreen Campaign",active,50,Daily,41.59,17693,18175,1.027242,15,0.082531,2.772667,2.288308,0,0,,
2026-06-17,2026-06-17,"Audience Test (Parents + Cooking)",active,50,Daily,37.69,14968,16065,1.07329,11,0.068472,3.426364,2.346094,2,0,0,
2026-06-17,2026-06-17,"Existing Posts",active,50,Daily,88.33,5536,5735,1.035947,376,6.556234,0.23492,15.401918,352,78,0.22159091,1.1324359
2026-06-16,2026-06-16,"[Parents + Cooking] Creative Test",inactive,50,Daily,73.7,41412,41412,1,62,0.149715,1.18871,1.779677,15,0,0,
2026-06-16,2026-06-16,"Target Evergreen Campaign",active,50,Daily,55.87,24557,25598,1.042391,23,0.089851,2.42913,2.182592,0,0,,
2026-06-16,2026-06-16,"Whole Foods Evergreen Campaign",active,50,Daily,41.96,17164,18189,1.059718,11,0.060476,3.814545,2.306889,0,0,,
2026-06-16,2026-06-16,"Audience Test (Parents + Cooking)",active,50,Daily,69.91,41061,42032,1.023648,70,0.16654,0.998714,1.663257,11,0,0,
2026-06-16,2026-06-16,"Existing Posts",active,50,Daily,43.92,2715,2834,1.043831,154,5.434016,0.285195,15.49753,137,37,0.27007299,1.18702703
2026-06-15,2026-06-15,"[Parents + Cooking] Creative Test",inactive,50,Daily,48.38,19055,19964,1.047704,13,0.065117,3.721538,2.423362,2,0,0,
2026-06-15,2026-06-15,"Target Evergreen Campaign",active,50,Daily,52.87,23300,23670,1.01588,15,0.063371,3.524667,2.233629,0,0,,
2026-06-15,2026-06-15,"Whole Foods Evergreen Campaign",active,50,Daily,38.04,15942,15956,1.000878,6,0.037603,6.34,2.384056,0,0,,
2026-06-15,2026-06-15,"Audience Test (Parents + Cooking)",active,50,Daily,51.77,23225,23225,1,27,0.116254,1.917407,2.229064,6,0,0,
2026-06-15,2026-06-15,"Existing Posts",active,50,Daily,74.54,4821,5161,1.070525,210,4.068979,0.354952,14.442937,188,52,0.27659574,1.43346154
2026-06-14,2026-06-14,"[Parents + Cooking] Creative Test",inactive,50,Daily,51.23,25539,25914,1.014683,34,0.131203,1.506765,1.976924,8,0,0,
2026-06-14,2026-06-14,"Target Evergreen Campaign",active,50,Daily,55.4,25704,26034,1.012838,19,0.072981,2.915789,2.127986,2,0,0,
2026-06-14,2026-06-14,"Whole Foods Evergreen Campaign",active,50,Daily,48.3,19744,20495,1.038037,19,0.092706,2.542105,2.356672,0,0,,
2026-06-14,2026-06-14,"Audience Test (Parents + Cooking)",active,50,Daily,51.16,25999,26311,1.012,39,0.148227,1.311795,1.944434,3,0,0,
